Drug Name,CAS,smiles,DockingScore
Repaglinide,135062-02-1,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N3CCCCC3)ccc1C(O)=O,-7.6
Fludarabine,21679-14-1,Nc1nc(F)nc2n(cnc12)[C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3O,-7.6
Tetracycline,60-54-8,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O,-7.6
Cefadroxil,50370-12-2,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C2=O)C(O)=O,-7.6
Stanozolol,10418-03-8,C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4Cc5[nH]ncc5C[C@]4(C)[C@H]3CC[C@]12C,-7.6
Xolegel,65277-42-1,CC(=O)N1CCN(CC1)c2ccc(OC[C@@H]3CO[C@](Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2,-7.5
Riociguat,625115-55-1,CN(C1=C(N=C(N=C1N)C2=NN(C3=C2C=CC=N3)CC4=CC=CC=C4F)N)C(=O)OC,-7.5
Telotristat,1033805-28-5,CC1=NN(C=C1)C2=C(C=CC(=C2)Cl)C(C(F)(F)F)OC3=NC(=NC(=C3)C4=CC=C(C=C4)CC(C(=O)O)N)N,-7.5
Cromolyn,16110-51-3,OC(COc1cccc2OC(=CC(=O)c12)C(O)=O)COc3cccc4OC(=CC(=O)c34)C(O)=O,-7.5
Ceftaroline fosamil anhydrous base,402741-13-3,CCON=C(C1=NSC(=N1)NP(=O)(O)O)C(=O)NC2C3N(C2=O)C(=C(CS3)SC4=NC(=CS4)C5=CC=[N+](C=C5)C)C(=O)O,-7.5
CID 60150250,-,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC,-7.5
Vilazodone,163521-12-8,C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N,-7.5
Perampanel,380917-97-5,C1=CC=C(C=C1)N2C=C(C=C(C2=O)C3=CC=CC=C3C#N)C4=CC=CC=N4,-7.5
Regadenoson,313348-27-5,CNC(=O)c1cnn(c1)c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2,-7.5
Eplerenone,107724-20-9,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]34O[C@@H]3C[C@@]5(C)[C@@H](CC[C@@]56CCC(=O)O6)[C@H]14,-7.5
Piroxicam,36322-90-4,CN1C(=C(/O)Nc2ccccn2)/C(=O)c3ccccc3[S]1(=O)=O,-7.5
Solifenacin,242478-37-1,C1CN2CCC1C(C2)OC(=O)N3CCC4=CC=CC=C4C3C5=CC=CC=C5,-7.5
Vismodegib,879085-55-9,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)NC2=CC(=C(C=C2)Cl)C3=CC=CC=N3)Cl,-7.5
Flunisolide,542449,O.CC1(C)O[C@@H]2CC3[C@@H]4C[C@H](F)C5=CC(=O)C=CC5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO.CC6(C)O[C@@H]7CC8[C@@H]9C[C@H](F)C%10=CC(=O)C=CC%10(C)[C@H]9[C@@H](O)C[C@]8(C)[C@@]7(O6)C(=O)CO,-7.5
Exemestane,107868-30-4,C[C@]12CC[C@H]3[C@@H](CC(=C)C4=CC(=O)C=C[C@]34C)[C@@H]1CCC2=O,-7.5
Cortisone acetate,50-04-4,CC(=O)OCC(=O)C1(CCC2C1(CC(=O)C3C2CCC4=CC(=O)CCC34C)C)O,-7.5
"(S)-[2,8-Bis(trifluoromethyl)-4-quinolyl]-[(2S)-2-piperidyl]methanol",51744-85-5,O[C@H]([C@@H]1CCCCN1)c2cc(nc3c2cccc3C(F)(F)F)C(F)(F)F,-7.5
(+)-Mefloquine,51688-68-7,O[C@@H]([C@@H]1CCCCN1)c2cc(nc3c2cccc3C(F)(F)F)C(F)(F)F,-7.5
"(R)-[2,8-Bis(trifluoromethyl)-4-quinolyl]-[(2R)-2-piperidyl]methanol",51744-84-4,O[C@@H]([C@H]1CCCCN1)c2cc(nc3c2cccc3C(F)(F)F)C(F)(F)F,-7.5
Flurandrenolide,1524-88-5,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,-7.5
Paricalcitol,131918-61-1,C[C@H](\C=C\[C@H](C)C(C)(C)O)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C3/C[C@@H](O)C[C@H](O)C3,-7.5
Oxymorphone,76-41-5,CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@]2(O)CCC4=O)c35,-7.5
(R)-(-)-Praziquantel,57452-98-9,C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2,-7.5
Picosulfuric acid,10040-34-3,C1=CC=NC(=C1)C(C2=CC=C(C=C2)OS(=O)(=O)O)C3=CC=C(C=C3)OS(=O)(=O)O,-7.5
Fluoxymesterone,76-43-7,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,-7.5
"(3S)-7-Chloro-2-oxo-5-phenyl-2,3-dihydro-1H-1,4-benzodiazepine-3-carboxylic acid",189298-40-6,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)O,-7.5
Ethinyl estradiol,57-63-6,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O,-7.5
(22S)-Budesonide,51372-28-2,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,-7.5
Pitavastatin,147511-69-1,OC(CC(O)/C=C/c1c(nc2ccccc2c1c3ccc(F)cc3)C4CC4)CC(O)=O,-7.5
"(3R)-7-Chloro-2-oxo-5-phenyl-2,3-dihydro-1H-1,4-benzodiazepine-3-carboxylic acid",189298-39-3,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)O,-7.5
"(2R)-7-Chloro-2-methyl-3-(2-methylphenyl)-4-oxo-1,2-dihydroquinazoline-6-sulfonamide",-,C[C@@H]1Nc2cc(Cl)c(cc2C(=O)N1c3ccccc3C)[S](N)(=O)=O,-7.5
"1-(2,4-Dichlorophenyl)-N-[(2,4-dichlorophenyl)methoxy]-2-(1-imidazolyl)ethanimine",64211-46-7,Clc1ccc(CON=C(Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1,-7.5
Olodaterol,868049-49-4,CC(C)(CC1=CC=C(C=C1)OC)NCC(C2=C3C(=CC(=C2)O)NC(=O)CO3)O,-7.5
Bisacodyl,603-50-9,CC(=O)Oc1ccc(cc1)C(c2ccc(OC(C)=O)cc2)c3ccccn3,-7.5
Dronabinol,72-08-3,CCCCCc1cc(O)c2[C@@H]3C=C(C)CC[C@H]3C(C)(C)Oc2c1,-7.5
Alosetron,122852-42-0,Cn1c2CCN(Cc3nc[nH]c3C)C(=O)c2c4ccccc14,-7.5
(S)-Donepezil,-,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,-7.5
Fosinopril,98048-97-6,CCC(=O)OC(O[P](=O)(CCCCc1ccccc1)CC(=O)N2C[C@@H](C[C@H]2C(O)=O)C3CCCCC3)C(C)C,-7.5
Propantheline,298-50-0,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc3ccccc13)C(C)C,-7.5
Leflunomide,75706-12-6,Cc1oncc1C(=O)Nc2ccc(cc2)C(F)(F)F,-7.5
Cefpirome,84957-29-9,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC5=C4CCC5)C(=O)[O-],-7.5
Triamcinolone hexacetonide,5611-51-8,CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)COC(=O)CC(C)(C)C)C)O)F)C)C,-7.5
Papaverine hydrochloride,61-25-6,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC.Cl,-7.5
Ondansetron,99614-02-5,Cn1c2CCC(Cn3ccnc3C)C(=O)c2c4ccccc14,-7.5
Troxerutin,7085-55-4,CC1OC(OCC2OC(OC3=C(Oc4cc(O)cc(O)c4C3=O)c5ccc(O)c(O)c5)C(O)C(O)C2O)C(O)C(O)C1O,-7.5
Bendroflumethiazide,73-48-3,N[S](=O)(=O)c1cc2c(NC(Cc3ccccc3)N[S]2(=O)=O)cc1C(F)(F)F,-7.5
Rescinnamine,24815-24-5,CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5cc(OC)ccc45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)\C=C\c6cc(OC)c(OC)c(OC)c6,-7.5
Flavin mononucleotide,146-17-8,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)O)O)O)O,-7.5
Tenoxicam,59804-37-4,CN1C(=C(\O)Nc2ccccn2)/C(=O)c3sccc3[S]1(=O)=O,-7.5
Rilpivirine hydrochloride,700361-47-3,CC1=CC(=CC(=C1NC2=NC(=NC=C2)NC3=CC=C(C=C3)C#N)C)C=CC#N.Cl,-7.5
Triamcinolone diacetate,67-78-7,CC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)OC(=O)C)O,-7.5
Mometasone furoate,83919-23-7,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)OC(=O)C5=CC=CO5)C)O)Cl)C,-7.5
Moperone,1050-79-9,Cc1ccc(cc1)C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2,-7.5
Ramosetron hydrochloride,132907-72-3,CN1C=C(C2=CC=CC=C21)C(=O)C3CCC4=C(C3)NC=N4.Cl,-7.5
Rosoxacin,40034-42-2,CCN1C=C(C(O)=O)C(=O)c2ccc(cc12)c3ccncc3,-7.5
Flumethasone pivalate,2002-29-1,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COC(=O)C(C)(C)C)O)C)O)F)C)F,-7.5
Benzylhydrochlorothiazide,1824-50-6,N[S](=O)(=O)c1cc2c(NC(Cc3ccccc3)N[S]2(=O)=O)cc1Cl,-7.5
Nylidrin,447-41-6,CC(CCc1ccccc1)NC(C)C(O)c2ccc(O)cc2,-7.5
"Romidepsin (FK228, Depsipeptide)",128517-07-7,CC=C1C(=O)NC(C(=O)OC2CC(=O)NC(C(=O)NC(CSSCCC=C2)C(=O)N1)C(C)C)C(C)C,-7.5
Nefazodone hydrochloride,82752-99-6,CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl.Cl,-7.5
Fluoxymesterone,76-43-7,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,-7.5
Ivabradine hydrochloride,148849-67-6,CN(CCCN1CCC2=CC(=C(C=C2CC1=O)OC)OC)CC3CC4=CC(=C(C=C34)OC)OC.Cl,-7.5
Afatinib (BIBW2992),439081-18-2,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,-7.5
Terconazole,67915-31-5,CC(C)N1CCN(CC1)c2ccc(OC[C@H]3CO[C@@](Cn4cncn4)(O3)c5ccc(Cl)cc5Cl)cc2,-7.5
Everolimus (RAD001),159351-69-6,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC,-7.5
Mirabegron,223673-61-8,C1=CC=C(C=C1)C(CNCCC2=CC=C(C=C2)NC(=O)CC3=CSC(=N3)N)O,-7.5
Amlexanox,68302-57-8,CC(C)c1ccc2Oc3nc(N)c(cc3C(=O)c2c1)C(O)=O,-7.5
Exemestane,107868-30-4,C[C@]12CC[C@H]3[C@@H](CC(=C)C4=CC(=O)C=C[C@]34C)[C@@H]1CCC2=O,-7.5
Betamethasone dipropionate,5593-20-4,CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC,-7.5
Farlutin,71-58-9,C[C@H]1C[C@@H]2[C@H](CC[C@@]3(C)[C@H]2CC[C@]3(OC(C)=O)C(C)=O)[C@@]4(C)CCC(=O)C=C14,-7.5
Palonosetron hydrochloride,135729-62-3,C1CC2CN(C(=O)C3=CC=CC(=C23)C1)C4CN5CCC4CC5.Cl,-7.5
Gramicidin,1405-97-6,CC(C)C[C@@H](NC(=O)[C@H](C)NC(=O)CNC(=O)[C@@H](NC=O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc5c[nH]c6ccccc56)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc7c[nH]c8ccccc78)C(=O)NCCO,-7.5
Amoxicillin,26787-78-0,O.O.O.CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(O)=O,-7.5
Medrysone,2668-66-8,C[C@H]1C[C@H]2[C@@H]3CC[C@H](C(C)=O)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)CCC(=O)C=C14,-7.5
Benzthiazide,91-33-8,N[S](=O)(=O)c1cc2c(NC(=N[S]2(=O)=O)CSCc3ccccc3)cc1Cl,-7.5
Budesonide,51333-22-3,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,-7.5
CID 53627520,-,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,-7.4
Lapatinib,231277-92-2,C[S](=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2,-7.4
Tedizolid phosphate,856867-55-5,CN1N=C(N=N1)C2=NC=C(C=C2)C3=C(C=C(C=C3)N4CC(OC4=O)COP(=O)(O)O)F,-7.4
"(1R,2S,5R,7R,8R,9R,11R,13R,14R)-8-[(2S,3R,4S,6R)-4-(Dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-2-ethyl-9-methoxy-1,5,7,9,11,13-hexamethyl-15-[4-(4-pyridin-3-ylimidazol-1-yl)butyl]-3,17-dioxa-15-azabicyclo[12.3.0]heptadecane-4,6,12,16-tetrone",191114-48-4,CC[C@@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]3N(CCCCn4cnc(c4)c5cccnc5)C(=O)O[C@@]13C)OC,-7.4
Linagliptin,668270-12-0,CC#CCN1C2=C(N=C1N3CCCC(C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C,-7.4
Topotecan,123948-87-8,CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(CN(C)C)c(O)ccc5nc34)C2=O,-7.4
(S)-Bendroflumethiazide,1245935-40-3,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2,-7.4
Oxymetholone,434-07-1,C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4CC(=O)C(/C[C@]4(C)[C@H]3CC[C@]12C)=C\O,-7.4
Levoleucovorin,68538-85-2,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,-7.4
Losartan,114798-26-4,CCCCc1nc(Cl)c(CO)n1Cc2ccc(cc2)c3ccccc3c4n[nH]nn4,-7.4
Oxacillin,66-79-5,Cc1onc(c2ccccc2)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(O)=O,-7.4
Pancuronium,16974-53-1,CC(=O)OC1CC2CCC3C(C2(CC1[N+]4(CCCCC4)C)C)CCC5(C3CC(C5OC(=O)C)[N+]6(CCCCC6)C)C,-7.4
Cefazolin,25953-19-9,[Na+].Cc1sc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cn4cnnn4)C3=O)C([O-])=O)nn1,-7.4
Loratadine,79794-75-5,CCOC(=O)N1CCC(CC1)=C2c3ccc(Cl)cc3CCc4cccnc24,-7.4
Rucaparib,283173-50-2,CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=C3C(=CC(=C4)F)N2,-7.4
Atorvastatin,134523-00-5,CC(C)c1n(CC[C@@H](O)C[C@@H](O)CC(O)=O)c(c2ccc(F)cc2)c(c3ccccc3)c1C(=O)Nc4ccccc4,-7.4
"(6R,7S,10R,11R,21S)-6-[2-(Diethylamino)ethylsulfonyl]-21-hydroxy-11,19-dimethyl-10-propan-2-yl-9,26-dioxa-3,15,28-triazatricyclo[23.2.1.03,7]octacosa-1(27),12,17,19,25(28)-pentaene-2,8,14,23-tetrone",112362-50-2,CCN(CC)CC[S](=O)(=O)[C@@H]1CCN2[C@H]1C(=O)O[C@H](C(C)C)[C@H](C)C=CC(=O)NCC=CC(=C[C@@H](O)CC(=O)Cc3occ(n3)C2=O)C,-7.4
"(3S)-3,6-Diamino-N-[[(2S,5S,8E,11S,15S)-15-amino-11-[(6R)-2-amino-1,4,5,6-tetrahydropyrimidin-6-yl]-8-[(carbamoylamino)methylidene]-2-(hydroxymethyl)-3,6,9,12,16-pentaoxo-1,4,7,10,13-pentazacyclohexadec-5-yl]methyl]hexanamide",-,NCCC[C@H](N)CC(=O)NC[C@@H]1NC(=O)[C@H](CO)NC(=O)[C@@H](N)CNC(=O)[C@@H](NC(=O)\C(NC1=O)=C/NC(N)=O)[C@H]2CCN=C(N)N2,-7.4
Ursodeoxycholic acid,128-13-2,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C,-7.4
(S)-Praziquantel,57452-97-8,C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2,-7.4
Triamcinolone,124-94-7,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,-7.4
Belinostat,866323-14-0,ONC(=O)/C=C/c1cccc(c1)[S](=O)(=O)Nc2ccccc2,-7.4
Aripiprazole,129722-12-9,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,-7.4
Dantrolene,7261-97-4,[O-][N+](=O)c1ccc(cc1)c2oc(cc2)\C=N\N3CC(=O)NC3=O,-7.4
S-(+)-Flecainide,-,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,-7.4
Paroxetine,61869-08-7,Fc1ccc(cc1)[C@@H]2CCNC[C@H]2COc3ccc4OCOc4c3,-7.4
(R)-Sulindac,190967-68-1,CC1=C(C2=C(C1=CC3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,-7.4
Triazolam,28911-01-5,Cc1nnc2CN=C(c3ccccc3Cl)c4cc(Cl)ccc4n12,-7.4
Sunitinib,557795-19-4,CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2/C(=O)Nc3ccc(F)cc23)c1C,-7.4
Chenodeoxycholic acid,474-25-9,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C,-7.4
Diacetyl benzoyl lathyrol,218916-52-0,CC1CC2(C(C1OC(=O)C3=CC=CC=C3)C(C(=C)CCC4C(C4(C)C)C=C(C2=O)C)OC(=O)C)OC(=O)C,-7.4
Silodosin,160970-54-7,C[C@H](Cc1cc2CCN(CCCO)c2c(c1)C(N)=O)NCCOc3ccccc3OCC(F)(F)F,-7.4
Hydrocodone,125-29-1,COc1ccc2C[C@@H]3[C@@H]4CCC(=O)[C@@H]5Oc1c2[C@]45CCN3C,-7.4
"(5S)-5-[[4-[2-(5-Ethylpyridin-2-yl)ethoxy]phenyl]methyl]-1,3-thiazolidine-2,4-dione",-,CCc1ccc(CCOc2ccc(C[C@@H]3SC(=O)NC3=O)cc2)nc1,-7.4
Obeticholic acid,459789-99-2,CCC1C2CC(CCC2(C3CCC4(C(C3C1O)CCC4C(C)CCC(=O)O)C)C)O,-7.4
Ingenol mebutate,75567-37-2,CC=C(C)C(=O)OC1C(=CC23C1(C(C(=CC(C2=O)C4C(C4(C)C)CC3C)CO)O)O)C,-7.4
Testosterone,58-22-0,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,-7.4
Retapamulin,224452-66-8,C[C@@H]1CC[C@@]23CCC(=O)[C@H]2[C@]1(C)[C@@H](C[C@@](C)(C=C)[C@@H](O)[C@@H]3C)OC(=O)CSC4C[C@@H]5CC[C@H](C4)N5C,-7.4
"(2R,6S)-9-Chloro-4-methyl-13-oxa-4-azatetracyclo[12.4.0.02,6.07,12]octadeca-1(18),7(12),8,10,14,16-hexaene",-,CN1C[C@@H]2[C@H](C1)c3cc(Cl)ccc3Oc4ccccc24,-7.4
Apremilast,608141-41-9,CCOC1=C(C=CC(=C1)C(CS(=O)(=O)C)N2C(=O)C3=C(C2=O)C(=CC=C3)NC(=O)C)OC,-7.4
(R)-Prasugrel,1437766-66-9,CC(=O)OC1=CC2=C(S1)CCN(C2)C(C3=CC=CC=C3F)C(=O)C4CC4,-7.4
Fentanyl,437-38-7,CCC(=O)N(C1CCN(CC1)CCc2ccccc2)c3ccccc3,-7.4
"(8R,9R,10R,13S,14R,17R)-13-Ethyl-17-ethynyl-3-hydroxyimino-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-17-ol",-,CC[C@]12CC[C@@H]3[C@@H](CCC4=CC(CC[C@H]34)=NO)[C@H]1CC[C@@]2(O)C#C,-7.4
Bimatoprost,155206-00-1,CCNC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)CCc2ccccc2,-7.4
Ketotifen,34580-13-7,CN1CCC(CC1)=C2c3ccccc3CC(=O)c4sccc24,-7.4
Voriconazole,137234-62-9,C[C@@H](c1ncncc1F)[C@](O)(Cn2cncn2)c3ccc(F)cc3F,-7.4
Teriflunomide,108605-62-5,CC(=O)\C(C#N)=C(/O)Nc1ccc(cc1)C(F)(F)F,-7.4
Colchicine,64-86-8,COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(C)=O,-7.4
Proflavine,92-62-6,Nc1ccc2cc3ccc(N)cc3nc2c1,-7.4
Quinapril,85441-61-8,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2Cc3ccccc3C[C@H]2C(O)=O,-7.4
Bicalutamide,90357-06-5,CC(O)(C[S](=O)(=O)c1ccc(F)cc1)C(=O)Nc2ccc(C#N)c(c2)C(F)(F)F,-7.4
Gestrinone,16320-04-0,CC[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)C#C,-7.4
Nebivolol,99200-09-6,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C3CCc4cc(F)ccc4O3,-7.4
Pantoprazole,102625-70-7,COc1ccnc(C[S](=O)c2[nH]c3cc(OC(F)F)ccc3n2)c1OC,-7.4
Abiraterone acetate,154229-18-2,CC(=O)OC1CCC2(C3CCC4(C(C3CC=C2C1)CC=C4C5=CN=CC=C5)C)C,-7.4
Fludrocortisone acetate,514-36-3,CC(=O)OCC(=O)C1(CCC2C1(CC(C3(C2CCC4=CC(=O)CCC43C)F)O)C)O,-7.4
Acetohexamide,968-81-0,CC(=O)c1ccc(cc1)[S](=O)(=O)NC(=O)NC2CCCCC2,-7.4
Nifuroxazide,965-52-6,Oc1ccc(cc1)C(=O)N/N=C/c2oc(cc2)[N+]([O-])=O,-7.4
Prasugrel hydrochloride,389574-19-0,CC(=O)OC1=CC2=C(S1)CCN(C2)C(C3=CC=CC=C3F)C(=O)C4CC4.Cl,-7.4
Budesonide,51333-22-3,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,-7.4
Pomalidomide,19171-19-8,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)N,-7.4
Colistin,1066-17-7,CCC(C)CCCC(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,-7.4
Hetacillin,3511-16-8,CC1(C)N[C@@H](C(=O)N1[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)c4ccccc4,-7.4
Testosterone phenylpropionate,1255-49-8,CC12CCC3C(C1CCC2OC(=O)CCC4=CC=CC=C4)CCC5=CC(=O)CCC35C,-7.4
Estriol,50-27-1,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1C[C@@H](O)[C@@H]2O,-7.4
Betamethasone dipropionate,5593-20-4,CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC,-7.4
Benazepril hydrochloride,86541-74-4,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O.Cl,-7.4
Benzarone,1477-19-6,CCc1oc2ccccc2c1C(=O)c3ccc(O)cc3,-7.4
Zopiclone,43200-80-2,CN1CCN(CC1)C(=O)OC2N(C(=O)c3nccnc23)c4ccc(Cl)cn4,-7.4
Gliclazide,21187-98-4,Cc1ccc(cc1)[S](=O)(=O)NC(=O)NN2CC3CCCC3C2,-7.4
Norethindrone acetate,51-98-9,CC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34)C)C#C,-7.4
Estriol succinate,514-68-1,CC12CCC3C(C1CC(C2OC(=O)CCC(=O)O)OC(=O)CCC(=O)O)CCC4=C3C=CC(=C4)O,-7.4
