Ligand_Name,Best_Score,Second_Score,Third_Score
rapacuronium_3520,-17.457
nelfinavir_1893,-17.451,-17.358,-16.019
enoxolone_3178,-17.439,-16.994,-16.804
ouabain_2004,-17.434,-16.948,-16.544
triamcinolonehexacetonide_4976,-17.402,-17.357,-16.225
taurursodiol_5679,-17.399,-16.708,-16.137
fexofenadine_1170,-17.381,-17.059,-16.343
cargutocin_3069,-17.380,-17.231,-16.042
cefpiramide_552,-17.359
telotristatethyl_5214,-17.358,-15.536
cabozantinib_4715,-17.352,-16.545,-15.357
lasalocid_5565,-17.344,-14.579
syrosingopine_2550,-17.343,-16.008,-14.454
anhydrovinblastine_219,-17.339,-17.095,-17.086
bromocriptine_403,-17.337,-14.925
vecuronium_2811,-17.333,-16.127,-14.671
tigecycline_2661,-17.313,-16.609
dexamethasoneisonicotinate_5675,-17.305,-16.868,-16.634
sarolaner_5616,-17.304,-15.865,-14.837
oteseconazole_5510,-17.274,-17.137,-16.096
capromorelin_5656,-17.273,-16.880,-16.656
peruvoside_3809,-17.259,-15.874,-15.662
erythromycinethylsuccinate_1051,-17.243,-17.071,-16.838
lanatosideC_1543,-17.241,-16.940,-16.877
probucol_2269,-17.234,-17.215,-14.777
fluticasonefuroate_4554,-17.227,-16.302,-16.275
mivacurium_1822,-17.191,-16.203,-15.672
lidoflazine_1580,-17.163,-16.437,-15.290
amcinonide_150,-17.152,-16.629,-16.287
ledipasvir_4899,-17.141,-16.633,-16.259
terfenadine_2600,-17.123,-17.052,-16.954
avapritinib_5379,-17.122,-15.751,-15.361
betamethasonebenzoate_351,-17.112,-16.889,-16.290
umeclidinium_4816,-17.110,-16.754,-15.235
vinorelbine_2827,-17.109,-16.827,-16.494
fusidicacid_1261,-17.089,-16.397,-16.298
eluxadoline_5001,-17.088,-15.326,-15.283
ivosidenib_5292,-17.085,-16.887,-14.143
bilastine_4353,-17.082,-15.153
vindesine_2826,-17.067,-17.053,-16.679
fostemsavir_5401,-17.059,-14.225
rifapentine_2378,-17.052,-16.875,-16.658
StreptomycinB_2482,-17.051,-15.223,-15.152
beclometasonedipropionate_294,-17.048,-16.291,-15.769
iodixanol_3302,-17.047,-14.913
carindacillin_508,-17.008,-16.147,-15.059
gitoformate_1296,-17.002,-16.430,-16.235
etoposidephosphate_3944,-16.997,-15.037,-14.590
diacetylbenzoyllathyrol_4620,-16.995,-16.971,-16.703
indocyaninegreen_3300,-16.985,-16.554,-16.505
pimozide_2172,-16.983,-15.840,-15.035
tacrolimus_2552,-16.979,-16.761,-16.729
fosaprepitant_4470,-16.974,-16.362,-16.034
digitalin_3143,-16.968,-16.423,-16.056
tilmicosin_5632,-16.954,-16.879,-16.789
dexamethasonedipropionate_827,-16.952,-16.074,-15.766
betamethasonedipropionate_353,-16.946,-16.200,-15.985
roxithromycin_2410,-16.939,-16.458,-16.395
tropesin_2773,-16.939,-15.531,-14.948
glecaprevir_5243,-16.936,-16.659,-16.485
vorapaxar_4870,-16.936,-16.272
pentamycin_3254,-16.933,-15.062,-14.909
metildigoxin_1761,-16.931,-16.253,-16.215
eltrombopag_4399,-16.917
alclometasonedipropionate_4493,-16.909,-15.915,-15.352
formocortal_3245,-16.905,-16.604,-15.602
narasin_5583,-16.893,-16.802,-16.476
anamorelin_5487,-16.889,-16.257,-14.992
diphenoxylate_918,-16.889,-16.028,-15.387
lotilaner_5567,-16.888,-16.700,-15.697
loperamide_1599,-16.887,-15.711,-15.698
temsirolimus_4161,-16.883,-16.023,-14.925
maropitant_5573,-16.870,-16.831,-16.749
rifabutin_2376,-16.870,-16.356,-16.057
SpiramycinI_2471,-16.869,-16.528,-16.018
flumetasonepivalate_1198,-16.869,-16.740,-16.482
algestoneacetophenide_797,-16.850,-16.675,-16.570
nandrolonecyclotate_1880,-16.842,-16.330,-16.011
saralasin_3542,-16.822,-16.666,-16.657
efonidipine_992,-16.806,-14.499,-14.251
caspofungin_2977,-16.798,-15.878,-15.222
dihydroergocryptine_4420,-16.796,-14.755,-14.235
ergotamine_1043,-16.789,-14.268,-13.933
SpiramycinIII_2473,-16.786,-16.646,-15.199
aclarubicin_80,-16.784,-16.363,-16.359
atracurium_259,-16.783,-16.566,-16.238
bazedoxifene_4334,-16.783
dexamethasonevalerate_829,-16.774,-16.200,-16.115
dihydroergotamine_888,-16.770,-14.257,-13.947
bezitramide_363,-16.769,-15.386
josamycin_1518,-16.768,-16.374,-16.033
betamethasonevalerate_354,-16.767,-16.179,-16.142
fosnetupitant_5283,-16.741,-15.785,-15.688
telithromycin_2581,-16.739,-16.296,-15.956
tocofersolan_4280,-16.734,-15.693
bedaquiline_4741,-16.731,-16.487,-16.403
testosteronecypionate_4454,-16.730,-16.052,-15.705
tazemetostat_5380,-16.722,-15.599
cetrorelix_583,-16.708,-16.160,-14.795
apalcillin_227,-16.706,-15.629,-14.994
mometasonefuroate_1832,-16.706,-15.972,-15.956
clocortolonepivalate_4606,-16.704,-16.694,-16.404
grapiprant_5552,-16.702
